PRODUCT_CATEGORY,REVENUE,STORE_LOCATION,TRANSACTION_DATE,TRANSACTION_TIME,TIME_BUCKET
Coffee beans,45,Astoria,10/06/2023,15:28.0,03.Evening
Coffee beans,45,Hell's Kitchen,21/06/2023,24:52.0,01.Morning
Coffee beans,45,Hell's Kitchen,12/06/2023,05:01.0,01.Morning
Coffee beans,45,Lower Manhattan,10/06/2023,20:43.0,01.Morning
Coffee beans,45,Lower Manhattan,16/05/2023,36:12.0,01.Morning
Coffee beans,45,Hell's Kitchen,12/05/2023,02:14.0,01.Morning
Coffee beans,45,Hell's Kitchen,23/06/2023,04:38.0,01.Morning
Coffee beans,45,Astoria,17/05/2023,26:25.0,01.Morning
Coffee beans,45,Hell's Kitchen,23/06/2023,23:14.0,01.Morning
Coffee beans,45,Hell's Kitchen,20/05/2023,50:04.0,02.Afternoon
Coffee beans,45,Lower Manhattan,22/05/2023,49:21.0,01.Morning
Coffee beans,45,Hell's Kitchen,14/06/2023,57:38.0,01.Morning
Coffee beans,45,Lower Manhattan,10/06/2023,52:18.0,02.Afternoon
Coffee beans,45,Astoria,08/06/2023,29:59.0,01.Morning
Coffee beans,45,Astoria,20/05/2023,56:39.0,03.Evening
Coffee beans,45,Lower Manhattan,27/06/2023,12:41.0,02.Afternoon
Coffee beans,45,Hell's Kitchen,21/06/2023,03:04.0,02.Afternoon
Coffee beans,45,Hell's Kitchen,19/06/2023,47:39.0,01.Morning
Coffee beans,45,Hell's Kitchen,20/06/2023,50:04.0,02.Afternoon
Coffee beans,45,Lower Manhattan,11/06/2023,03:56.0,02.Afternoon
Coffee beans,45,Hell's Kitchen,16/06/2023,09:53.0,01.Morning
Coffee beans,45,Hell's Kitchen,30/05/2023,29:02.0,01.Morning
Coffee beans,45,Astoria,19/06/2023,58:02.0,01.Morning
Coffee beans,45,Lower Manhattan,16/05/2023,17:13.0,01.Morning
Coffee beans,45,Lower Manhattan,16/06/2023,17:13.0,01.Morning
Coffee beans,45,Hell's Kitchen,08/05/2023,29:02.0,01.Morning
Coffee beans,45,Hell's Kitchen,19/06/2023,33:33.0,01.Morning
Coffee beans,36,Lower Manhattan,30/06/2023,13:06.0,01.Morning
Coffee beans,36,Lower Manhattan,08/05/2023,13:06.0,01.Morning
Coffee beans,36,Lower Manhattan,08/06/2023,13:06.0,01.Morning
Coffee beans,31.75,Lower Manhattan,30/06/2023,42:52.0,01.Morning
Branded,28,Astoria,11/06/2023,26:05.0,01.Morning
Branded,28,Lower Manhattan,24/06/2023,26:54.0,01.Morning
Branded,28,Lower Manhattan,25/06/2023,30:29.0,01.Morning
Branded,28,Astoria,14/06/2023,41:06.0,01.Morning
Branded,28,Astoria,11/06/2023,09:00.0,02.Afternoon
Branded,28,Astoria,14/06/2023,11:42.0,01.Morning
Branded,28,Astoria,14/05/2023,24:36.0,03.Evening
Branded,28,Lower Manhattan,19/05/2023,04:49.0,03.Evening
Branded,28,Lower Manhattan,10/05/2023,24:17.0,01.Morning
Branded,28,Lower Manhattan,27/06/2023,09:41.0,01.Morning
Branded,28,Astoria,21/06/2023,38:12.0,02.Afternoon
Branded,28,Lower Manhattan,17/05/2023,44:40.0,02.Afternoon
Branded,28,Astoria,08/06/2023,54:56.0,02.Afternoon
Branded,28,Astoria,30/05/2023,57:48.0,01.Morning
Coffee beans,28,Lower Manhattan,07/05/2023,50:42.0,01.Morning
Branded,28,Astoria,18/05/2023,50:37.0,03.Evening
Branded,28,Lower Manhattan,26/06/2023,33:41.0,03.Evening
Branded,28,Lower Manhattan,09/06/2023,32:37.0,01.Morning
Branded,28,Astoria,21/05/2023,22:04.0,01.Morning
Branded,28,Lower Manhattan,21/06/2023,11:39.0,01.Morning
Branded,28,Lower Manhattan,14/06/2023,17:34.0,02.Afternoon
Branded,28,Astoria,16/06/2023,54:07.0,02.Afternoon
Branded,28,Astoria,17/05/2023,21:45.0,03.Evening
Branded,28,Hell's Kitchen,21/06/2023,35:24.0,01.Morning
Branded,28,Hell's Kitchen,20/05/2023,17:04.0,01.Morning
Branded,28,Lower Manhattan,25/05/2023,58:05.0,01.Morning
Branded,28,Astoria,19/06/2023,57:48.0,01.Morning
Branded,28,Astoria,18/05/2023,18:56.0,01.Morning
Branded,28,Lower Manhattan,27/06/2023,19:35.0,02.Afternoon
Branded,28,Lower Manhattan,19/06/2023,04:49.0,03.Evening
Branded,28,Astoria,15/05/2023,57:48.0,01.Morning
Branded,28,Lower Manhattan,26/06/2023,25:39.0,01.Morning
Branded,28,Astoria,15/06/2023,12:06.0,02.Afternoon
Branded,28,Astoria,19/06/2023,19:35.0,02.Afternoon
Branded,28,Astoria,14/06/2023,24:42.0,01.Morning
Branded,28,Astoria,21/05/2023,41:06.0,01.Morning
Branded,28,Hell's Kitchen,20/06/2023,31:53.0,01.Morning
Branded,28,Astoria,19/06/2023,22:36.0,03.Evening
Branded,28,Lower Manhattan,24/06/2023,56:17.0,01.Morning
Branded,28,Astoria,21/05/2023,24:36.0,03.Evening
Branded,28,Hell's Kitchen,31/05/2023,17:04.0,01.Morning
Branded,28,Lower Manhattan,14/05/2023,17:52.0,01.Morning
Branded,28,Astoria,17/06/2023,16:54.0,02.Afternoon
Branded,28,Astoria,15/06/2023,57:48.0,01.Morning
Branded,28,Lower Manhattan,25/06/2023,39:20.0,01.Morning
Branded,28,Hell's Kitchen,15/05/2023,00:35.0,01.Morning
Branded,28,Lower Manhattan,13/06/2023,35:26.0,01.Morning
Branded,28,Lower Manhattan,09/05/2023,32:37.0,01.Morning
Branded,28,Lower Manhattan,14/05/2023,17:34.0,02.Afternoon
Branded,28,Lower Manhattan,24/06/2023,26:59.0,01.Morning
Branded,28,Lower Manhattan,09/06/2023,42:16.0,01.Morning
Coffee beans,28,Lower Manhattan,07/06/2023,45:15.0,01.Morning
Branded,28,Lower Manhattan,24/05/2023,56:17.0,01.Morning
Branded,28,Lower Manhattan,09/06/2023,14:36.0,01.Morning
Branded,28,Astoria,14/06/2023,24:36.0,03.Evening
Branded,28,Lower Manhattan,09/05/2023,49:33.0,02.Afternoon
Branded,28,Lower Manhattan,09/05/2023,42:16.0,01.Morning
Branded,28,Astoria,14/06/2023,38:12.0,02.Afternoon
Branded,28,Astoria,15/06/2023,04:58.0,01.Morning
Branded,28,Astoria,21/05/2023,38:12.0,02.Afternoon
Branded,28,Lower Manhattan,30/06/2023,14:36.0,01.Morning
Coffee beans,28,Lower Manhattan,07/05/2023,05:19.0,01.Morning
Coffee beans,28,Lower Manhattan,07/05/2023,45:15.0,01.Morning
Branded,28,Astoria,19/05/2023,12:06.0,02.Afternoon
Branded,28,Lower Manhattan,21/05/2023,11:39.0,01.Morning
Branded,28,Astoria,19/05/2023,04:58.0,01.Morning
Branded,28,Astoria,21/05/2023,24:42.0,01.Morning
Branded,28,Hell's Kitchen,21/05/2023,35:24.0,01.Morning
Branded,28,Astoria,21/06/2023,24:42.0,01.Morning
Branded,28,Lower Manhattan,21/06/2023,30:00.0,02.Afternoon
Coffee beans,28,Lower Manhattan,07/06/2023,59:06.0,01.Morning
Branded,28,Astoria,17/06/2023,08:53.0,01.Morning
Branded,28,Hell's Kitchen,20/05/2023,31:53.0,01.Morning
Branded,28,Astoria,14/06/2023,22:04.0,01.Morning
Branded,28,Lower Manhattan,27/05/2023,09:41.0,01.Morning
Branded,28,Lower Manhattan,17/05/2023,19:45.0,01.Morning
Branded,28,Astoria,17/06/2023,21:45.0,03.Evening
Branded,28,Astoria,15/05/2023,04:58.0,01.Morning
Branded,28,Lower Manhattan,17/06/2023,44:40.0,02.Afternoon
Branded,28,Lower Manhattan,10/06/2023,03:35.0,01.Morning
Branded,28,Astoria,21/06/2023,22:04.0,01.Morning
Branded,28,Hell's Kitchen,11/05/2023,25:09.0,01.Morning
Branded,28,Astoria,14/05/2023,41:06.0,01.Morning
Branded,28,Astoria,11/05/2023,26:05.0,01.Morning
Branded,28,Astoria,18/05/2023,08:56.0,03.Evening
Branded,28,Hell's Kitchen,15/06/2023,00:35.0,01.Morning
Branded,28,Lower Manhattan,25/05/2023,30:29.0,01.Morning
Branded,28,Lower Manhattan,24/05/2023,26:54.0,01.Morning
Branded,28,Astoria,14/05/2023,11:42.0,01.Morning
Branded,28,Lower Manhattan,25/05/2023,39:20.0,01.Morning
Branded,28,Hell's Kitchen,12/05/2023,12:51.0,01.Morning
Branded,28,Astoria,17/05/2023,16:54.0,02.Afternoon
Branded,28,Lower Manhattan,30/05/2023,34:19.0,01.Morning
Branded,28,Astoria,11/05/2023,09:00.0,02.Afternoon
Branded,28,Lower Manhattan,23/05/2023,54:46.0,01.Morning
Branded,28,Astoria,19/06/2023,04:58.0,01.Morning
Branded,28,Hell's Kitchen,11/06/2023,25:09.0,01.Morning
Branded,28,Lower Manhattan,19/06/2023,26:07.0,01.Morning
Branded,28,Hell's Kitchen,11/05/2023,20:48.0,01.Morning
Branded,28,Astoria,17/05/2023,36:52.0,01.Morning
Branded,28,Astoria,21/06/2023,24:36.0,03.Evening
Branded,28,Lower Manhattan,26/06/2023,44:30.0,02.Afternoon
Branded,28,Lower Manhattan,14/06/2023,17:52.0,01.Morning
Branded,28,Lower Manhattan,26/05/2023,25:39.0,01.Morning
Branded,28,Astoria,21/05/2023,11:42.0,01.Morning
Branded,28,Astoria,18/06/2023,50:37.0,03.Evening
Branded,28,Astoria,17/06/2023,15:11.0,01.Morning
Branded,28,Astoria,15/06/2023,22:36.0,03.Evening
Branded,28,Astoria,21/06/2023,41:06.0,01.Morning
Branded,28,Lower Manhattan,14/06/2023,07:32.0,02.Afternoon
Coffee beans,28,Lower Manhattan,07/05/2023,59:06.0,01.Morning
Branded,24,Lower Manhattan,09/05/2023,55:55.0,01.Morning
Branded,24,Lower Manhattan,09/06/2023,55:55.0,01.Morning
Coffee beans,23,Lower Manhattan,07/06/2023,27:50.0,01.Morning
Coffee beans,23,Lower Manhattan,07/06/2023,25:31.0,01.Morning
Branded,23,Astoria,14/05/2023,45:44.0,02.Afternoon
Branded,23,Astoria,21/05/2023,41:46.0,01.Morning
Branded,23,Astoria,14/06/2023,45:44.0,02.Afternoon
Branded,23,Astoria,21/06/2023,45:44.0,02.Afternoon
Branded,23,Astoria,21/06/2023,45:03.0,01.Morning
Branded,23,Astoria,21/05/2023,45:03.0,01.Morning
Branded,23,Astoria,14/06/2023,45:03.0,01.Morning
Branded,23,Astoria,14/05/2023,41:00.0,03.Evening
Branded,23,Astoria,14/05/2023,45:03.0,01.Morning
Branded,23,Astoria,21/06/2023,41:46.0,01.Morning
Coffee beans,22.5,Hell's Kitchen,10/06/2023,08:12.0,01.Morning
Coffee beans,22.5,Lower Manhattan,21/06/2023,03:30.0,02.Afternoon
Coffee beans,22.5,Hell's Kitchen,25/06/2023,25:24.0,02.Afternoon
Coffee beans,22.5,Astoria,17/06/2023,48:20.0,01.Morning
Coffee beans,22.5,Hell's Kitchen,17/05/2023,53:11.0,02.Afternoon
Coffee beans,22.5,Lower Manhattan,26/06/2023,49:02.0,01.Morning
Coffee beans,22.5,Hell's Kitchen,17/06/2023,03:34.0,02.Afternoon
Coffee beans,22.5,Astoria,11/06/2023,10:48.0,01.Morning
Coffee beans,22.5,Hell's Kitchen,09/06/2023,54:12.0,01.Morning
Coffee beans,22.5,Hell's Kitchen,14/06/2023,54:08.0,02.Afternoon
Coffee beans,22.5,Astoria,14/06/2023,41:15.0,02.Afternoon
Coffee beans,22.5,Hell's Kitchen,09/05/2023,54:12.0,01.Morning
Coffee beans,22.5,Hell's Kitchen,21/06/2023,41:02.0,02.Afternoon
Coffee beans,22.5,Lower Manhattan,12/05/2023,23:13.0,02.Afternoon
Coffee beans,22.5,Hell's Kitchen,20/06/2023,54:59.0,04.Night
Coffee beans,22.5,Astoria,20/06/2023,10:43.0,02.Afternoon
Coffee beans,22.5,Lower Manhattan,26/05/2023,49:02.0,01.Morning
Coffee beans,22.5,Hell's Kitchen,20/06/2023,29:02.0,02.Afternoon
Coffee beans,22.5,Lower Manhattan,25/05/2023,20:42.0,01.Morning
Coffee beans,22.5,Hell's Kitchen,24/06/2023,28:53.0,03.Evening
Coffee beans,22.5,Hell's Kitchen,14/05/2023,37:03.0,01.Morning
Coffee beans,22.5,Astoria,16/06/2023,12:58.0,01.Morning
Coffee beans,22.5,Lower Manhattan,17/06/2023,36:03.0,01.Morning
Coffee beans,22.5,Lower Manhattan,10/06/2023,54:21.0,01.Morning
Coffee beans,22.5,Hell's Kitchen,14/06/2023,30:29.0,01.Morning
Coffee beans,22.5,Hell's Kitchen,24/05/2023,55:07.0,02.Afternoon
Coffee beans,22.5,Lower Manhattan,20/06/2023,32:04.0,01.Morning
Coffee beans,22.5,Hell's Kitchen,19/06/2023,24:23.0,01.Morning
Coffee beans,22.5,Hell's Kitchen,13/05/2023,27:52.0,01.Morning
Coffee beans,22.5,Astoria,15/06/2023,24:36.0,01.Morning
Coffee beans,22.5,Lower Manhattan,24/05/2023,17:19.0,01.Morning
Coffee beans,22.5,Astoria,21/06/2023,41:15.0,02.Afternoon
Coffee beans,22.5,Hell's Kitchen,25/05/2023,25:24.0,02.Afternoon
Coffee beans,22.5,Astoria,18/06/2023,29:02.0,03.Evening
Coffee beans,22.5,Hell's Kitchen,10/05/2023,08:12.0,01.Morning
Coffee beans,22.5,Lower Manhattan,22/05/2023,16:01.0,01.Morning
Coffee beans,22.5,Hell's Kitchen,21/05/2023,41:02.0,02.Afternoon
Coffee beans,22.5,Astoria,20/05/2023,53:41.0,03.Evening
Coffee beans,22.5,Astoria,18/06/2023,18:18.0,01.Morning
Coffee beans,22.5,Hell's Kitchen,09/06/2023,44:54.0,01.Morning
Coffee beans,22.5,Lower Manhattan,17/05/2023,36:03.0,01.Morning
Coffee beans,22.5,Lower Manhattan,08/06/2023,49:04.0,01.Morning
Coffee beans,22.5,Astoria,16/05/2023,12:58.0,01.Morning
Coffee beans,22.5,Hell's Kitchen,13/05/2023,58:08.0,03.Evening
Coffee beans,22.5,Hell's Kitchen,22/05/2023,03:09.0,01.Morning
Coffee beans,22.5,Astoria,18/05/2023,18:18.0,01.Morning
Coffee beans,22.5,Hell's Kitchen,17/06/2023,53:11.0,02.Afternoon
Coffee beans,22.5,Hell's Kitchen,08/06/2023,42:55.0,03.Evening
Coffee beans,22.5,Hell's Kitchen,14/05/2023,54:08.0,02.Afternoon
Coffee beans,22.5,Hell's Kitchen,13/06/2023,58:08.0,03.Evening
Coffee beans,22.5,Hell's Kitchen,24/05/2023,28:53.0,03.Evening
Coffee beans,22.5,Astoria,19/05/2023,24:36.0,01.Morning
Coffee beans,22.5,Lower Manhattan,14/06/2023,26:22.0,02.Afternoon
Coffee beans,22.5,Lower Manhattan,15/06/2023,46:58.0,02.Afternoon
Coffee beans,22.5,Astoria,20/06/2023,18:42.0,02.Afternoon
Coffee beans,22.5,Hell's Kitchen,14/06/2023,37:03.0,01.Morning
Coffee beans,22.5,Astoria,14/05/2023,25:51.0,01.Morning
Coffee beans,22.5,Astoria,21/05/2023,25:51.0,01.Morning
Coffee beans,22.5,Astoria,18/05/2023,29:02.0,03.Evening
Coffee beans,22.5,Hell's Kitchen,20/05/2023,54:59.0,04.Night
Coffee beans,22.5,Astoria,14/06/2023,25:51.0,01.Morning
Coffee beans,22.5,Hell's Kitchen,14/06/2023,33:31.0,04.Night
Coffee beans,22.5,Hell's Kitchen,15/06/2023,29:59.0,01.Morning
Coffee beans,22.5,Astoria,20/05/2023,45:10.0,01.Morning
Coffee beans,22.5,Astoria,19/06/2023,24:36.0,01.Morning
Coffee beans,22.5,Hell's Kitchen,09/05/2023,44:54.0,01.Morning
Coffee beans,22.5,Lower Manhattan,12/06/2023,23:13.0,02.Afternoon
Coffee beans,22.5,Astoria,11/05/2023,10:48.0,01.Morning
Coffee beans,22.5,Lower Manhattan,24/06/2023,17:19.0,01.Morning
Coffee beans,22.5,Hell's Kitchen,13/06/2023,27:52.0,01.Morning
Coffee beans,22.5,Hell's Kitchen,19/05/2023,19:28.0,03.Evening
Coffee beans,22.5,Lower Manhattan,21/05/2023,03:30.0,02.Afternoon
Coffee beans,22.5,Hell's Kitchen,21/05/2023,48:25.0,02.Afternoon
Coffee beans,22.5,Hell's Kitchen,15/05/2023,09:14.0,01.Morning
Coffee beans,22.5,Hell's Kitchen,17/06/2023,34:55.0,01.Morning
Coffee beans,22.5,Lower Manhattan,14/05/2023,26:22.0,02.Afternoon
Coffee beans,22.5,Astoria,20/05/2023,18:42.0,02.Afternoon
Coffee beans,22.5,Lower Manhattan,22/06/2023,16:01.0,01.Morning
Coffee beans,21,Lower Manhattan,30/05/2023,07:11.0,01.Morning
Coffee beans,21,Astoria,20/05/2023,12:05.0,01.Morning
Coffee beans,21,Astoria,19/06/2023,56:19.0,01.Morning
Coffee beans,21,Astoria,20/06/2023,17:42.0,01.Morning
Coffee beans,21,Hell's Kitchen,25/06/2023,46:27.0,01.Morning
Coffee beans,21,Hell's Kitchen,25/06/2023,01:31.0,02.Afternoon
Coffee beans,21,Hell's Kitchen,24/06/2023,24:27.0,01.Morning
Coffee beans,21,Lower Manhattan,14/05/2023,47:52.0,01.Morning
Coffee beans,21,Hell's Kitchen,19/06/2023,34:31.0,03.Evening
Coffee beans,21,Hell's Kitchen,13/05/2023,50:20.0,01.Morning
Coffee beans,21,Lower Manhattan,19/06/2023,19:23.0,01.Morning
Coffee beans,21,Astoria,15/05/2023,52:37.0,01.Morning
Coffee beans,21,Hell's Kitchen,16/06/2023,09:37.0,01.Morning
Coffee beans,21,Lower Manhattan,27/06/2023,28:58.0,03.Evening
Coffee beans,21,Lower Manhattan,08/05/2023,17:35.0,01.Morning
Coffee beans,21,Hell's Kitchen,16/06/2023,26:10.0,01.Morning
Coffee beans,21,Hell's Kitchen,08/05/2023,49:14.0,01.Morning
Coffee beans,21,Hell's Kitchen,25/05/2023,46:27.0,01.Morning
Coffee beans,21,Astoria,15/06/2023,56:19.0,01.Morning
Coffee beans,21,Hell's Kitchen,22/06/2023,27:07.0,03.Evening
Coffee beans,21,Hell's Kitchen,24/05/2023,24:27.0,01.Morning
Coffee beans,21,Astoria,20/06/2023,12:05.0,01.Morning
Coffee beans,21,Lower Manhattan,21/06/2023,50:14.0,01.Morning
Coffee beans,21,Astoria,21/06/2023,38:12.0,02.Afternoon
Coffee beans,21,Lower Manhattan,18/06/2023,10:51.0,02.Afternoon
Coffee beans,21,Astoria,31/05/2023,27:58.0,02.Afternoon
Coffee beans,21,Astoria,08/05/2023,27:58.0,02.Afternoon
Coffee beans,21,Hell's Kitchen,20/05/2023,23:47.0,01.Morning
Coffee beans,21,Lower Manhattan,09/05/2023,29:31.0,02.Afternoon
Coffee beans,21,Hell's Kitchen,13/06/2023,50:20.0,01.Morning
Coffee beans,21,Astoria,09/05/2023,04:41.0,03.Evening
Coffee beans,21,Astoria,31/05/2023,33:58.0,01.Morning
Coffee beans,21,Astoria,08/06/2023,27:58.0,02.Afternoon
Coffee beans,21,Lower Manhattan,07/05/2023,14:20.0,01.Morning
Coffee beans,21,Hell's Kitchen,12/06/2023,32:06.0,01.Morning
Coffee beans,21,Astoria,19/06/2023,42:56.0,03.Evening
Coffee beans,21,Astoria,20/05/2023,17:42.0,01.Morning
Coffee beans,21,Lower Manhattan,07/06/2023,44:17.0,01.Morning
Coffee beans,21,Lower Manhattan,11/05/2023,28:19.0,01.Morning
Coffee beans,21,Lower Manhattan,18/05/2023,57:50.0,02.Afternoon
Coffee beans,21,Hell's Kitchen,12/05/2023,07:15.0,01.Morning
Coffee beans,21,Lower Manhattan,25/06/2023,11:01.0,01.Morning
Coffee beans,21,Astoria,18/05/2023,09:21.0,03.Evening
Coffee beans,21,Lower Manhattan,22/06/2023,51:42.0,01.Morning
Coffee beans,21,Astoria,09/06/2023,04:41.0,03.Evening
Coffee beans,21,Lower Manhattan,26/05/2023,32:31.0,01.Morning
Coffee beans,21,Astoria,16/05/2023,37:37.0,03.Evening
Coffee beans,21,Astoria,19/06/2023,31:01.0,01.Morning
Coffee beans,21,Astoria,21/05/2023,38:12.0,02.Afternoon
Coffee beans,21,Hell's Kitchen,14/05/2023,54:46.0,03.Evening
Coffee beans,21,Lower Manhattan,22/05/2023,51:42.0,01.Morning
Coffee beans,21,Astoria,15/06/2023,52:37.0,01.Morning
Coffee beans,21,Astoria,16/06/2023,37:37.0,03.Evening
Coffee beans,21,Hell's Kitchen,21/06/2023,50:25.0,01.Morning
Coffee beans,21,Lower Manhattan,17/06/2023,15:30.0,03.Evening
Coffee beans,21,Lower Manhattan,27/05/2023,37:30.0,01.Morning
Coffee beans,21,Astoria,09/05/2023,59:55.0,01.Morning
Coffee beans,21,Astoria,18/06/2023,09:21.0,03.Evening
Coffee beans,21,Lower Manhattan,27/05/2023,28:58.0,03.Evening
Coffee beans,21,Astoria,19/06/2023,52:37.0,01.Morning
Coffee beans,21,Hell's Kitchen,12/05/2023,32:06.0,01.Morning
Coffee beans,21,Lower Manhattan,17/05/2023,15:30.0,03.Evening
Coffee beans,21,Hell's Kitchen,19/05/2023,34:31.0,03.Evening
Coffee beans,21,Astoria,15/05/2023,31:01.0,01.Morning
Coffee beans,21,Hell's Kitchen,12/06/2023,07:15.0,01.Morning
Coffee beans,21,Lower Manhattan,13/05/2023,13:32.0,02.Afternoon
Coffee beans,21,Astoria,09/06/2023,59:55.0,01.Morning
Coffee beans,21,Lower Manhattan,12/05/2023,51:16.0,03.Evening
Coffee beans,21,Hell's Kitchen,22/05/2023,27:07.0,03.Evening
Coffee beans,21,Lower Manhattan,08/06/2023,07:10.0,01.Morning
Coffee beans,21,Astoria,19/05/2023,27:52.0,01.Morning
Coffee beans,21,Lower Manhattan,30/06/2023,11:01.0,01.Morning
Coffee beans,21,Astoria,15/05/2023,42:56.0,03.Evening
Coffee beans,21,Hell's Kitchen,30/06/2023,23:47.0,01.Morning
Coffee beans,21,Hell's Kitchen,25/05/2023,01:31.0,02.Afternoon
Coffee beans,21,Hell's Kitchen,30/05/2023,47:56.0,01.Morning
Coffee beans,21,Lower Manhattan,08/05/2023,07:10.0,01.Morning
Coffee beans,21,Lower Manhattan,31/05/2023,00:38.0,01.Morning
Coffee beans,21,Astoria,17/06/2023,01:00.0,03.Evening
Coffee beans,21,Hell's Kitchen,12/05/2023,12:51.0,01.Morning
Coffee beans,21,Hell's Kitchen,16/05/2023,26:10.0,01.Morning
Coffee beans,21,Lower Manhattan,18/05/2023,10:51.0,02.Afternoon
Coffee beans,21,Astoria,15/06/2023,42:56.0,03.Evening
Coffee beans,21,Lower Manhattan,08/06/2023,21:38.0,03.Evening
Coffee beans,21,Lower Manhattan,08/06/2023,17:35.0,01.Morning
Coffee beans,21,Hell's Kitchen,08/06/2023,49:14.0,01.Morning
Coffee beans,21,Astoria,14/06/2023,38:12.0,02.Afternoon
Coffee beans,21,Hell's Kitchen,14/06/2023,54:46.0,03.Evening
Coffee beans,21,Lower Manhattan,26/06/2023,32:31.0,01.Morning
